YEAR,MMWR-YEAR,MMWR-WEEK,CUMULATIVE RATE,WEEKLY RATE 
2019-20,2019.0,40.0,0.1,0.1
2019-20,2019.0,40.0,0.1,0.1
2019-20,2019.0,40.0,0.1,0.1
2019-20,2019.0,40.0,0.2,0.2
2019-20,2019.0,40.0,0.0,0.0
2019-20,2019.0,40.0,0.1,0.1
2019-20,2019.0,40.0,0.1,0.1
2019-20,2019.0,40.0,0.1,0.1
2019-20,2019.0,40.0,0.1,0.1
2019-20,2019.0,40.0,0.1,0.1
2019-20,2019.0,40.0,0.1,0.1
2019-20,2019.0,40.0,0.2,0.2
2019-20,2019.0,40.0,0.1,0.1
2019-20,2019.0,40.0,0.1,0.1
2019-20,2019.0,40.0,0.0,0.0
2019-20,2019.0,40.0,0.1,0.1
2019-20,2019.0,40.0,0.0,0.0
2019-20,2019.0,40.0,0.0,0.0
2019-20,2019.0,40.0,0.3,0.3
2019-20,2019.0,40.0,0.0,0.0
2019-20,2019.0,40.0,0.1,0.1
2019-20,2019.0,40.0,0.0,0.0
2019-20,2019.0,40.0,0.0,0.0
2019-20,2019.0,40.0,0.0,0.0
2019-20,2019.0,41.0,0.5,0.3
2019-20,2019.0,41.0,0.0,0.0
2019-20,2019.0,41.0,0.0,0.0
2019-20,2019.0,41.0,0.0,0.0
2019-20,2019.0,41.0,0.2,0.1
2019-20,2019.0,41.0,0.1,0.0
2019-20,2019.0,41.0,0.0,0.0
2019-20,2019.0,41.0,0.1,0.0
2019-20,2019.0,41.0,0.2,0.1
2019-20,2019.0,41.0,0.0,0.0
2019-20,2019.0,41.0,0.2,0.1
2019-20,2019.0,41.0,0.4,0.3
2019-20,2019.0,41.0,0.2,0.1
2019-20,2019.0,41.0,0.3,0.2
2019-20,2019.0,41.0,0.2,0.1
2019-20,2019.0,41.0,0.2,0.1
2019-20,2019.0,41.0,0.1,0.1
2019-20,2019.0,41.0,0.3,0.1
2019-20,2019.0,41.0,0.3,0.3
2019-20,2019.0,41.0,0.2,0.1
2019-20,2019.0,41.0,0.2,0.1
2019-20,2019.0,41.0,0.0,0.0
2019-20,2019.0,41.0,0.2,0.1
2019-20,2019.0,41.0,0.2,0.1
2019-20,2019.0,42.0,0.3,0.1
2019-20,2019.0,42.0,0.7,0.4
2019-20,2019.0,42.0,0.3,0.1
2019-20,2019.0,42.0,0.3,0.1
2019-20,2019.0,42.0,0.0,0.0
2019-20,2019.0,42.0,0.4,0.2
2019-20,2019.0,42.0,0.5,0.2
2019-20,2019.0,42.0,0.4,0.2
2019-20,2019.0,42.0,0.3,0.2
2019-20,2019.0,42.0,0.6,0.3
2019-20,2019.0,42.0,0.3,0.1
2019-20,2019.0,42.0,0.4,0.2
2019-20,2019.0,42.0,0.3,0.1
2019-20,2019.0,42.0,0.0,0.0
2019-20,2019.0,42.0,0.3,0.2
2019-20,2019.0,42.0,0.4,0.2
