Date,Open,High,Low,Close,Adj Close,Volume
2019-10-09,137.729996,138.389999,137.729996,138.059998,129.229935,7600
2019-10-10,137.729996,138.539993,137.729996,138.059998,129.229935,6300
2019-10-11,139.490005,141.050003,139.490005,140.119995,131.158127,19200
2019-10-14,139.720001,140.369995,139.720001,139.789993,130.849258,4500
2019-10-15,141.110001,142.889999,141.110001,142.429993,133.320389,193500
2019-10-16,142.800003,143.899994,142.800003,142.979996,133.835251,14200
2019-10-17,143.830002,144.110001,143.649994,143.649994,134.462357,3100
2019-10-18,142.630005,142.789993,141.539993,141.550003,132.496689,10700
2019-10-21,141.460007,142.399994,141.160004,141.690002,132.627747,5700
2019-10-22,141.570007,141.630005,140.820007,140.830002,131.822754,7100
2019-10-23,140.889999,141.830002,140.570007,141.830002,132.758774,11200
2019-10-24,142.149994,142.360001,140.809998,141.050003,132.028641,2500
2019-10-25,140.580002,142.399994,140.580002,142.080002,132.992783,2300
2019-10-28,143.369995,143.449997,142.429993,143.240005,134.078583,5500
2019-10-29,143.979996,146.220001,143.720001,146.220001,136.868011,9000
2019-10-30,145.660004,146.190002,145.039993,146.139999,136.793121,8300
2019-10-31,145.800003,146.029999,145.380005,145.979996,136.643326,17900
2019-11-01,146.520004,147.100006,146.240005,146.259995,136.905457,4200
2019-11-04,147.009995,147.009995,145.570007,145.570007,136.259598,4400
2019-11-05,145.520004,145.520004,144.169998,144.179993,134.958496,6600
2019-11-06,144.139999,144.139999,143.339996,143.460007,134.284561,4700
2019-11-07,143.800003,144.350006,143.25,143.470001,134.293915,6800
2019-11-08,143.199997,144.899994,143.199997,144.899994,135.632385,4600
2019-11-11,144.009995,144.25,143.860001,144.25,135.024002,8500
2019-11-12,144.369995,145.289993,143.979996,143.979996,134.771255,5800
2019-11-13,143.490005,144.580002,143.490005,144.229996,135.00528,3000
2019-11-14,143.929993,143.949997,143.179993,143.809998,134.612122,5400
2019-11-15,144.449997,146.190002,144.110001,146.100006,136.755676,20200
